FaceSex,FaceAgeGroup,FaceAge,subject,face.a,ag.old,ag.young,at.old,at.young,ba.old,ba.young,co.old,co.young,he.old,he.young,un.old,un.young
M,OA,53,B009,OM1g1r,2.0625,2.375,3.6875,2.5,3.0625,2.4375,4.375,4.125,4.75,4.3125,2.8125,3.5
F,OA,54,B022,OW2g13r,1.375,2.5625,5.25,4.9375,2.6875,3.5,5.178571429,5.375,5.875,5.6875,2.5625,2.125
M,OA,53,B038,OM1g3r,2,2.5,3.875,2.75,3.1875,3.026785714,4.75,4.3125,4.875,3.3125,3.125,3.6875
M,OA,53,B041,OM1g4r,4.75,4.3125,3.4375,2.375,2.5625,2.053571429,4.6875,4.3125,4.625,3.5,3.375,4.5
F,OA,53,B044,OW1g5r,2,2.875,3.5625,3,3.5,2.616071429,4.5625,4.5,5,4.625,3.0625,4
F,OA,53,B045,OW1g6r,3.125,3.1875,2.9375,1.6875,3.9375,4.651785714,3.8125,3.3125,3.875,2.375,3.625,4.125
M,OA,53,B046,OM1g6r,2.8125,2.9375,3.375,2.5,3.5625,2.982142857,4.0625,4.875,4.0625,3.3125,3.3125,3.625
F,OA,53,B052,OW1g7r,1.75,1.6875,4.8125,4.75,3.625,3.008928571,5.125,5.3125,5.375,5.5625,2.375,2.375
M,OA,53,B056,OM1g10r,3.9375,4.25,2.5625,2.4375,3.25,3.008928571,3.625,3.1875,3.375,2.6875,4.125,5
F,OA,53,B057,OW2g2r,2.875,4.5625,3.125,1.9375,2.0625,2.625,4.330357143,3.75,3.9375,3.6875,3.375,5
M,OA,53,B058,OM1g11r,2.9375,3.4375,3.375,2.625,3.125,3.232142857,4.4375,4.5625,4.625,4.3125,3.0625,3.3125
F,OA,52,B068,OW2g1r,1.875,2.8125,3.75,2.375,3.178571429,3.375,4.232142857,4.125,4.875,4.5,2.75,3.3125
F,OA,53,B077,OW1g10r,4.6875,4.6875,2.5,2,1.8125,1.732142857,3.375,3.5625,3.1875,2.9375,4.25,5.1875
F,OA,53,B090,OW1g11r,3.1875,3.5625,2.5625,1.8125,2.4375,2.339285714,3.875,4.125,3.25,3.375,3.125,3.25
F,OA,53,B091,OW1g12r,2.75,2.9375,4.5,4.25,3.125,2.830357143,4.75,4.6875,5.0625,4.6875,2.625,3.25
F,OA,53,C063,OW1g15r,3.25,3,3.6875,3.375,3.625,4.035714286,3.875,4.75,4.125,4.0625,3,2.75
F,OA,54,C066,OW1g16r,2.0625,2.625,3.8125,3,3.75,3.473214286,4.125,3.5,4.75,4.125,2.8125,4.3125
M,OA,53,C069,OM1g15r,4.0625,3.9375,2.8125,2.75,3.125,2.660714286,4.0625,3.875,4.1875,3.75,4.0625,3.9375
F,OA,54,C073,OW1g17r,2.25,2.5,2.5,1.875,3.875,3.758928571,3.875,3.75,3.375,2.1875,3.1875,3.25
F,OA,54,C083,OW1g18r,3.75,2.875,3.0625,2.3125,2.5,2.928571429,4,4,4.1875,3.9375,3.0625,3.3125
F,OA,54,C084,OW1g19r,3.5625,2.5625,3.125,2.5625,2.625,2.571428571,3.6875,4.6875,4.1875,3.875,3.3125,3
F,OA,53,C085,OW1g20r,2.25,3.0625,2.75,2.0625,2.375,1.991071429,3.8125,3.875,4.125,3.5,3.375,3.5625
F,OA,54,C087,OW1g21r,4.0625,3.9375,3.0625,3.125,2.0625,1.776785714,4.6875,4.875,4.5625,4.375,3.0625,4.0625
M,OA,53,C091,OM1g16r,2.0625,2.1875,3.9375,3.25,4.875,4.4375,4.625,4.75,4.4375,3.9375,2.8125,3.375
M,OA,54,C093,OM1g17r,3.0625,2.75,2.8125,2.75,2.9375,3.589285714,3.5625,3.4375,4.5625,4.1875,3.875,3.9375
F,OA,53,C097,OW1g22r,2.0625,1.8125,4.8125,4.25,3.5,3.071428571,5,5.125,5.25,5,2.8125,2.4375
F,OA,54,C098,OW1g23r,3.5,3.9375,3.875,2.6875,3.25,3.125,4.1875,3.6875,4.4375,3.4375,3.375,4.0625
M,OA,53,C099,OM1g18r,4.1875,3,3,2.8125,2.5,2.6875,3.5625,3.375,3.875,3.6875,4.25,4.125
F,OA,53,C100,OW1g24r,2.5,2.8125,4.1875,2.75,3.0625,2.419642857,4.75,4.125,4.75,4.1875,3,2.8125
F,OA,54,C103,OW1g25r,2.25,1.875,3.1875,3.5625,3.375,3.553571429,4.25,4.375,5.0625,4.5,3,2.5
M,OA,54,C106,OM1g19r,2.75,3.375,4.3125,3.875,3.4375,3.75,4.125,4.4375,5.0625,4.5625,3.875,4.1875
M,OA,53,C109,OM1g20r,2,3.0625,3.8125,1.9375,3.1875,2.589285714,4.3125,4.1875,5,3.25,2.8125,4
F,OA,52,C110,OW1g26r,3.9375,4,3.625,2.875,2.8125,1.785714286,5.25,5.4375,4.9375,4.5,2.875,3.8125
M,OA,54,C112,OM1g21r,4,3.25,4.25,3.0625,3,2.723214286,4.875,4.625,4.6875,4.3125,3.25,3.75
M,OA,54,C115,OM1g22r,2.1875,3.0625,4.125,3.0625,3.75,3.464285714,4.6875,4.9375,4.875,3.9375,3.0625,4.3125
F,OA,54,C116,OW1g27r,2.9375,3,3.25,2,3.125,1.9375,4.5,4.125,4.0625,3.5625,3.125,4.0625
M,OA,53,C121,OM1g23r,1.625,2.3125,4.5625,2.75,3.9375,3.160714286,5.1875,5.25,5.375,4.625,2.5,3.3125
F,OA,53,C125,OW1g28r,2.6875,3,3.125,2.625,3.75,3.678571429,4.3125,4.125,4.4375,3.5,3.25,3.9375
F,OA,53,C126,OW1g29r,3.9375,3.75,3.5,3.9375,2,2.651785714,4.5,5,4.3125,4.75,3.625,3.8125
M,OA,54,C128,OM1g31r,2.8125,3.6875,3.5625,2.75,2.75,2.508928571,3.6875,3.6875,4.5,3.9375,4.0625,4.9375
F,OA,54,C132,OW1g31r,2.625,2.6875,3.25,3.3125,2.1875,1.383928571,4,3.875,4.3125,3.875,3.125,3.3125
M,OA,54,C136,OM1g26r,3.1875,2,3.0625,3,3,2.580357143,4.75,4.9375,4.25,4.0625,3.5,3.5
F,OA,53,C138,OW1g33r,2.5,2.75,3.625,2.875,3.125,3.160714286,4.5,4.0625,4.4375,3.8125,2.875,3.75
M,OA,53,C144,OM1g27r,4,3,3.1875,1.875,2.6875,2.696428571,4,4.1875,4.0625,3.0625,3.5,3.6875
F,OA,53,C146,OW1g34r,4.5625,4.625,3.875,2.4375,2.75,1.803571429,3.8125,3.75,3.9375,3.375,3.8125,5
F,OA,52,C150,OW1g35r,2.5625,2.6875,4.4375,3.375,3.25,3.401785714,5.125,4.375,4.8125,5,3.1875,2.9375
F,OA,54,C151,OW1g36r,1.9375,1.6875,2.875,1.875,3.9375,3.348214286,4.4375,3.8125,4.125,2.625,2.625,2.5
M,OA,53,C154,OM1g28r,2.5,2.6875,3.5,3.125,2.5625,2.446428571,3.9375,3.6875,4.5625,4.1875,3.0625,4.125
F,OA,53,C157,OW1g37r,2.6875,3,4,3.8125,3.1875,2.75,4.5,4.75,4.9375,4.4375,2.6875,3.0625
M,OA,53,C158,OM1g29r,2.5,2.3125,4.3125,2.3125,2.5625,2.008928571,4.6875,4.625,4.5,3.75,3.0625,3.3125
F,OA,54,C163,OW1g39r,1.875,2.0625,4.0625,3.25,2.875,2.803571429,4.4375,4.75,4.8125,4.3125,2.625,2.8125
F,OA,53,C169,OW1g41r,1.9375,1.8125,3.6875,3.3125,4.1875,4.607142857,4.25,4.75,4.5625,3.375,2.875,2.875
M,OA,54,C172,OM2g2r,3.5,4.375,3,2.9375,1.535714286,1.75,3.705357143,4.5,4.4375,4.3125,4.625,5.4375
M,OA,54,C175,OM1g32r,3.8125,3.4375,2.625,2.8125,2.625,2.8125,4.3125,4.625,4.125,3.5625,3.9375,3.6875
F,OA,53,C177,OW1g43r,2.125,2.0625,3.6875,3,3.9375,4.098214286,4.5625,4.625,4.3125,3.75,2.5625,2.75
M,OA,52,C178,OM1g33r,3.375,3.1875,2.5625,2.4375,2.125,1.821428571,4.5,4.375,3.875,4,3.5625,3.75
M,OA,53,G049,OM2g4r,3.375,3.6875,3.1875,3.625,1.5625,1.75,3.803571429,4.75,4.875,4.75,4,3.875
M,OA,54,G059,OM1g34r,3.5,4.125,3.1875,3.125,3.125,2,4.1875,4.25,4.4375,4.0625,3.75,4.3125
F,OA,54,G061,OW1g44r,2.375,2.25,3.0625,2.1875,2.75,1.910714286,3.5625,4,4.3125,3.5,2.75,3.4375
F,OA,55,G063,OW1g45r,3.4375,3.75,3.25,2.3125,2.5,2.464285714,3.875,4,3.5625,3.0625,3.3125,3.5625
M,OA,54,G064,OM1g35r,2.4375,2.6875,3.75,3.4375,4,3.866071429,4.8125,4.625,4.75,4.125,2.8125,3.0625
F,OA,54,G066,OW1g46r,2.125,2.6875,5.625,4.3125,3.5,3.241071429,5.0625,4.6875,5.8125,5.0625,2.1875,3.125
M,OA,54,G070,OM1g37r,3.9375,2.9375,2.75,2.3125,1.75,1.723214286,4.125,4.75,3.25,3.4375,4.0625,3.6875
M,OA,53,G078,OM1g39r,3.6875,3.5,4.4375,3.0625,3.625,3.25,4.75,4.75,5.125,4.25,3.0625,4.1875
M,OA,53,G079,OM1g40r,4.3125,3.625,2.75,2.0625,2.875,2.419642857,4,4.25,3.6875,2.8125,4.25,4.5
M,OA,54,G080,OM1g41r,2.875,2.75,4.3125,3.25,2.9375,2.571428571,5,5.3125,5.125,4.3125,3.125,3.4375
F,OA,53,G082,OW1g48r,2.1875,2.75,4,3.375,2.8125,2.241071429,4.75,5.125,4.875,5,2.75,3.375
F,OA,53,G084,OW2g3r,3.375,5,2.5625,2,2.294642857,3.0625,3.526785714,4.25,3.25,3.1875,3.25,5.0625
M,OA,53,G086,OM1g42r,4.0625,3.875,2.6875,2.0625,2.6875,2.080357143,4,4.25,4.0625,2.875,3.6875,4.5
F,OA,53,G088,OW1g49r,1.75,1.875,5.0625,3.9375,4.1875,3.366071429,5,5.25,5.375,4.9375,2.3125,2.8125
M,OA,53,G093,OM1g43r,3.9375,3.0625,3.125,4.4375,2.25,2.169642857,4.5625,6.375,4.5,5.1875,3.875,3.0625
F,OA,54,G096,OW2g4r,2.3125,2.8125,3.8125,3.625,1.535714286,2.0625,4.080357143,4.0625,4.1875,4.4375,3.1875,3.875
M,OA,54,G097,OM1g44r,2.3125,3.0625,4.375,2.5625,3.875,3.25,4.5625,4.375,4.6875,3.4375,3.625,4.25
F,OA,53,G100,OW1g50r,2.8125,3.25,2.5625,1.5,2.4375,2.741071429,3.125,3.125,3.6875,2.375,3.4375,4.4375
F,OA,53,G101,OW2g5r,1.9375,3.25,3.4375,1.875,3.044642857,4.5625,3.982142857,3.3125,4.1875,3.75,2.75,3.9375
F,OA,54,G103,OW2g6r,1.3125,2.5625,4.8125,3.3125,3.098214286,3.5,5.794642857,4.0625,5.6875,4.6875,3,3.125
F,OA,53,G104,OW2g7r,1.3125,2.1875,4.6875,3.6875,2.651785714,2.4375,5.401785714,4.9375,5.25,5,3,2.875
M,OA,53,G107,OM2g6r,2.375,2.625,3.5,3.3125,2.758928571,3.6875,4.160714286,3.3125,4.875,4.5625,3.9375,4.1875
M,OA,54,G108,OM1g45r,1.625,2.125,4.75,2.75,3.875,2.875,5.0625,4.875,5.1875,4.5,2.8125,2.75
M,OA,54,G112,OM1g46r,2.0625,3.0625,3.5,2.375,3.9375,3,4.875,4.125,5,3.75,2.875,4.1875
M,OA,53,G115,OM1g47r,1.9375,2.0625,4.1875,3.3125,4,3.901785714,4.6875,4.6875,5.1875,4.4375,3.0625,3.3125
F,OA,53,G116,OW1g51r,3.25,3.125,3.3125,2.125,2.5625,2.232142857,4.0625,4.4375,4.3125,3.5,3.125,3.5625
M,OA,53,G117,OM2g7r,2.125,3.1875,3.625,3.1875,1.892857143,2.4375,4.625,3.9375,4.6875,4.5625,3.8125,4
M,OA,54,G121,OM1g48r,3.4375,3.5,3.0625,2.0625,2.375,1.848214286,4.0625,3.625,4.1875,3.5,3.875,4.375
M,OA,53,G124,OM1g49r,4.125,4.4375,3.1875,2.25,1.75,1.901785714,4.4375,4.75,3.75,3.625,3.8125,3.6875
F,OA,53,G125,OW2g8r,2.5,3.5625,2.9375,2.4375,2.455357143,2.9375,3.723214286,3.5625,3.8125,3.4375,3.125,4.1875
F,OA,53,G127,OW2g9r,1.625,2.75,4.5,3.4375,1.857142857,2.3125,4.767857143,4.1875,4.75,4.125,2.4375,3.0625
F,OA,53,G135,OW2g10r,3.0625,4.875,2.875,1.9375,2.3125,2,3.794642857,4.1875,4.5625,4,3.5625,4.5625
M,OA,54,G139,OM2g8r,2.6875,3.625,4.375,4,1.589285714,2,5.044642857,5.1875,4.875,4.9375,3.25,3.625
F,OA,54,G140,OW2g11r,1.5625,2.6875,3.5,1.9375,1.401785714,1.8125,4.526785714,3.8125,4.5625,4.1875,2.875,2.8125
F,OA,53,G163,OW2g15r,1.5,2.375,4.875,4.375,2.642857143,3.1875,5.4375,5,5.6875,5.375,2.5625,2.25
F,OA,53,G165,OW2g16r,2,3.1875,2.875,1.625,2.044642857,2.1875,4.267857143,3.625,4.125,3.75,3.0625,3.625
M,OA,53,G170,OM2g11r,2.1875,3,2.6875,2,2.75,3.375,3.857142857,3.75,4.0625,3.5625,3.6875,3.5
M,OA,52,G173,OM2g12r,1.9375,2.6875,3.125,2.6875,2.5,3.875,3.946428571,3.9375,4.4375,4.3125,3.75,4
M,OA,52,G175,OM2g13r,3.4375,3.4375,2.125,2.75,1.580357143,2,3.071428571,3.875,3.375,4.0625,4.1875,3.5625
F,OA,52,G176,OW2g17r,1.25,2.25,5.3125,4.1875,3.026785714,3.75,5.517857143,4.875,5.8125,5.375,2.6875,2.625
F,OA,53,G179,OW2g18r,2.75,3.75,2.1875,1.125,1.928571429,4.5625,3.178571429,3,3.625,2.75,3.6875,4.375
M,OA,53,G180,OM2g14r,1.75,2.5625,4.125,3.9375,2.660714286,2.4375,5.178571429,4.9375,4.9375,5.1875,3.5,3.0625
M,OA,62,O002,OM1g12r,2.75,2.875,3.5,2.625,4.125,4.25,5.0625,5.5,4.25,3.125,3.3125,3.75
F,OA,61,O003,OW2g20r,2.0625,3.5,4.0625,2.6875,2.3125,2.9375,4.875,4.625,4.375,3.9375,3.125,3.6875
M,OA,60,O006,OM2g17r,2,2.75,3.5625,3.625,2.401785714,2.5625,3.982142857,4.125,4.9375,4.5625,3.375,3.6875
M,OA,60,O008,OM2g18r,2.25,3.0625,2.125,1.25,2.8125,3.875,3.491071429,2.1875,3.4375,3.5625,3.9375,4.1875
F,OA,61,O013,OW2g21r,2.5,4.0625,3.8125,2.875,1.794642857,2.375,4.267857143,4.0625,4.4375,4.0625,3.1875,4.375
M,OA,61,O030,OM2g19r,1.8125,1.6875,3.6875,4.375,2.526785714,2.75,4.633928571,5,4.6875,5.1875,3.1875,2.625
F,OA,61,O031,OW2g22r,2.1875,3.5625,3.125,1.75,2.241071429,3.375,4.910714286,3.9375,4.4375,4.1875,3.25,4.0625
M,OA,60,O032,OM2g20r,2.1875,3.625,3.25,2.0625,2.642857143,3.8125,4.142857143,3.5,4.6875,4.125,3.75,3.8125
M,OA,62,O042,OM2g21r,3.1875,4.0625,3.0625,3.25,2.348214286,2.0625,3.848214286,3.6875,5.0625,4.3125,4.25,3.875
F,OA,61,O049,OW2g25r,2,3.25,3.25,2.75,2.25,2.1875,4.651785714,4.4375,4.625,3.9375,3.0625,3.0625
M,OA,61,O050,OM2g22r,3.375,4.3125,3,2.5,1.607142857,2,4.053571429,4.0625,4.1875,3.8125,3.875,4.5
F,OA,61,O053,OW2g26r,1.375,2.1875,4.75,3.5,3.098214286,4,5.5,3.9375,5.6875,4.8125,2.3125,2.8125
M,OA,61,O054,OM2g23r,2.375,3.1875,2.8125,2,2.767857143,3,3.285714286,4.25,4,4.375,3.9375,4.3125
M,OA,62,O060,OM2g24r,2.8125,3.75,2.4375,1.9375,1.866071429,2.5,3.321428571,3.5625,4,3.6875,3.8125,4
M,OA,61,O066,OM2g26r,2.5625,3.375,2.6875,2.5,2.544642857,4.125,3.133928571,4.125,3.75,3.25,4.1875,4.4375
F,OA,61,O067,OW2g28r,1.8125,3.375,4.125,2.8125,2.526785714,2.5,4.669642857,4.1875,4.75,4.0625,3,3.5
M,OA,62,O078,OM2g27r,1.75,3.3125,3.9375,3.125,2.9375,2.625,4.705357143,4.0625,5.25,4.25,3.4375,4.125
M,OA,61,O086,OM2g28r,2.9375,4.5,3.5,2.9375,2.107142857,2,4.464285714,4.125,4.0625,3.9375,3.6875,4.8125
M,OA,60,O088,OM2g29r,2.125,4.6875,2.5,2.125,2.285714286,3.1875,3.732142857,3.1875,3.5625,2.9375,4.75,5.125
F,OA,61,O093,OW2g29r,2,3.5,3.125,2,2.375,3.4375,3.901785714,4,3.9375,3.375,3.0625,4.125
M,OA,62,O106,OM2g30r,2.875,4.625,3.125,2.5,2.901785714,2.25,4.303571429,4.375,4.6875,3.8125,4.5625,4.75
M,OA,60,O110,OM2g31r,3.625,4.0625,2.3125,2,1.535714286,3.25,3.044642857,3.25,3.1875,2.5625,4.5625,4.75
F,OA,60,O113,OW2g30r,2.375,3.5,2.75,1.5625,1.589285714,2,4.107142857,3.5,3.9375,3.5625,3.5,4.375
M,OA,61,O116,OM2g33r,2.375,3.0625,3.625,3.0625,2.401785714,2.875,4.4375,4.375,4.375,4.25,3.5,2.875
F,OA,60,O119,OW2g31r,2.5,4,2.75,1.5,2.392857143,3.3125,3.785714286,3.5,4.0625,3.1875,3.1875,4
F,OA,60,O125,OW2g32r,1.75,3.375,3.625,3.1875,2.25,3.25,4.544642857,4.4375,3.8125,3.75,3.25,3.375
F,OA,61,O127,OW2g33r,3.1875,4.5625,3.5,2.625,2,2.75,4.517857143,4.3125,4.4375,4.375,3.5,4.375
M,OA,61,O130,OM2g35r,3.125,4,2.875,2.9375,2.160714286,3,3.848214286,3.6875,4,3.8125,3.25,4.125
F,OA,60,O131,OW2g35r,3.625,4.3125,2.3125,1.375,1.267857143,2.3125,3.919642857,3.4375,3.75,3.5,3.625,4.875
M,OA,60,O134,OM2g36r,2.25,2.9375,2.8125,1.875,2.473214286,3.375,3.589285714,3.1875,4.125,3.1875,4.125,3.75
M,OA,60,O144,OM2g37r,3.4375,3.75,1.875,1.75,1.258928571,1.875,3.321428571,3.4375,3,3.375,4.625,4.6875
F,OA,60,O145,OW2g37r,1.8125,3.9375,2.9375,2.0625,2.491071429,2.25,3.982142857,3.75,4.3125,3.8125,3.125,4
F,OA,60,O153,OW2g38r,1.3125,2.75,4.125,2.75,2.633928571,2.1875,5.267857143,4.75,5.6875,4.5,2.875,2.9375
M,OA,60,O164,OM2g39r,3.125,4.0625,3.625,2.9375,2.383928571,3.1875,4.205357143,4.5,4.5625,3.6875,3.6875,4.3125
M,OA,60,O168,OM2g41r,2.875,3.875,2.6875,2.0625,1.928571429,2.3125,4.214285714,3.6875,4.1875,3.375,3.8125,4.4375
M,OA,60,O172,OM2g42r,2.375,3.625,3.1875,2.5625,2.892857143,2.9375,3.767857143,3.875,4.9375,4.3125,3.8125,4.875
F,OA,60,O179,OW2g41r,2.375,3.125,2.5,1.9375,1.991071429,3.125,4.383928571,4.25,4.125,4.125,2.625,3.375
M,OA,59,O184,OM2g43r,1.5,1.875,3.9375,3.875,2.5625,3,4.767857143,4.875,5.625,5.625,3.6875,3.25
F,OA,61,O207,OW2g42r,1.625,2.5625,3,1.5,1.866071429,2.3125,4.044642857,2.6875,4.1875,3.875,2.8125,3.375
M,OA,60,O216,OM2g44r,2.4375,4,4.25,3.375,2.928571429,2.8125,4.776785714,5.1875,5.3125,4.4375,3.75,3.5625
M,OA,60,O230,OM2g45r,1.875,2.875,3.4375,2.8125,2.294642857,2.5,4.0625,3.6875,5.0625,4.875,3.625,3.625
M,OA,61,O232,OM2g46r,2.25,3.1875,3.5,2.6875,2.303571429,2.6875,4.0625,4.1875,4.9375,4.5,3.5625,3.4375
F,OA,60,O233,OW2g46r,1.8125,2.8125,3.1875,2.1875,2.776785714,3.25,4.401785714,3.375,4.5,4.3125,3.3125,3.375
M,OA,60,O234,OM2g47r,2.4375,3.5,3.375,2.375,1.892857143,2.625,4.598214286,4.25,4.5,3.9375,3.5,3.5
M,OA,61,O236,OM2g48r,1.875,2.5,2.9375,3,2.410714286,3.8125,3.705357143,3.75,4.5,4.25,3.8125,3.375
F,OA,62,O243,OW2g47r,1.75,3.3125,4.125,2.5,2.526785714,2.1875,5.053571429,3.375,5.125,4.25,3.375,3.625
M,OA,60,O250,OM2g49r,2.75,4.1875,3.5625,2.875,3.330357143,3.3125,4.589285714,4,4.625,4.125,3.8125,5.125
F,OA,60,O293,OW2g48r,2.375,3.875,5.8125,5.5625,2.723214286,4.125,5.392857143,5.3125,6.0625,5.9375,2.625,3.375
