StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6 (continued)_1,Q6 (continued)_2,Q6 (continued)_3,Q6 (continued)_4,Q6 (continued)_5,Q6 (continued)_6,Q6 (continued)_7,Q6 (continued)_8,Q6 (continued)_9,Q6 (continued)_10,Q6 (continued)_11,Q6 (continued)_12,Q6 (continued)_13,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q6 _1,Q6 _2,Q6 _3,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q8_16,Q8_17,Q8_18,Q8_19,Q8_20,Q8_21,Q8_22,Q8_23,Q8_24,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_13,Q9_14,Q9_15,Q9_16,Q9_17,Q9_18,Q9_19,Q9_20,Q9_21,Q9_22,Q9_23,Q9_24,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12,SC0,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How old are you?,What is your gender?,What is your parents' martial status?,Which of the following best describes you?,Which of the following best describes you?,"In general, my parents... - are persons I can count on to provide emotional support when I feel troubled.","In general, my parents... - support my goals and interests.","In general, my parents... - live in a different world.","In general, my parents... - understand my problems and concerns.","In general, my parents... - respect my privacy.","In general, my parents... - restrict my freedom or independence.","In general, my parents... - are available to give me advice or guidance when I want it.","In general, my parents... - take my opinions seriously.","In general, my parents... - encourage me to make my own decisions.","In general, my parents... - are critical of what I can do.","In general, my parents... - impose their ideas and values on me.","In general, my parents... - have given me as much attention as I have wanted.","In general, my parents... - are persons to whom I can express differences of opinion on important matters.","In general, my parents... - have no idea what I am feeling or thinking.","In general, my parents... - have provided me with the freedom to experiment and learn things on my own.","In general, my parents... - are too busy or otherwise involved to help me.","In general, my parents... - have trust and confidence in me.","In general, my parents... - try to control my life.","In general, my parents... - protect me from danger and difficulty.","In general, my parents... - ignore what I have to say.","In general, my parents... - are sensitive to my feelings and needs.","In general, my parents... - are disappointed in me.","In general, my parents... - give me advice whether or not I want it.","In general, my parents... - respect my judgement and decisions, even if different from what they would want.","In general, my parents... - do things for me, which I could do for myself.","In general, my parents... - are persons whose expectations I feel obligated to meet.","In general, my parents... - treat me like a younger child.","When I have a serious problem or an important decision to make... - I look to my family for support, encouragement, and/or guidance.",When I have a serious problem or an important decision to make... - I know that my family will know what to do.,When I have a serious problem or an important decision to make... - I contact my family if I am not able to resolve the situation after talking it over with my friends.,When I have a serious problem or an important decision to make... - I think about how my family might respond and what they might say.,When I have a serious problem or an important decision to make... - I discuss the matter with a friend.,"When I have a serious problem or an important decision to make... - I seek help from a professional, such as a therapist, college counselor, or clergy.","When I have a serious problem or an important decision to make... - I work it out on my own, without help or discussion with others.",When I go to my parents for help... - I feel more confident in my ability to handle the problems on my own.,When I go to my parents for help... - I continue to feel unsure of myself.,When I go to my parents for help... - I feel that I would have obtained more understanding and comfort from a friend.,Please read each question and select the option that best describes your experience. - How well can you get professors to help you when you get stuck on schoolwork?,Please read each question and select the option that best describes your experience. - How well can you express your opinions when other people disagree with you?,Please read each question and select the option that best describes your experience. - How well do you succeed in cheering yourself up when an unpleasant event has happened?,Please read each question and select the option that best describes your experience. - How well can you study when there are other interesting things to do?,Please read each question and select the option that best describes your experience. - How well do you succeed in becoming calm again when you are very scared?,Please read each question and select the option that best describes your experience. - How well can you become friends with other people?,Please read each question and select the option that best describes your experience. - How well can you study a chapter for an exam?,Please read each question and select the option that best describes your experience. - How well can you have a chat with an unfamiliar person?,Please read each question and select the option that best describes your experience. - How well can you prevent nervousness?,Please read each question and select the option that best describes your experience. - How well do you succeed in finishing all your homework every day?,Please read each question and select the option that best describes your experience. - How well can you work in harmony with your peers?,Please read each question and select the option that best describes your experience. - How well can you control your feelings?,Please read each question and select the option that best describes your experience. - How well can you pay attention during class?,Please read each question and select the option that best describes your experience. - How well can you tell other people that they are doing something that you don't like?,Please read each question and select the option that best describes your experience. - How well can you give yourself a pep-talk when you feel low?,Please read each question and select the option that best describes your experience. - How well do you succeed in understanding all content in your classes?,Please read each question and select the option that best describes your experience. - How well can you tell a funny story to a group of people?,Please read each question and select the option that best describes your experience. - How well can you tell a friend that you don't feel well?,Please read each question and select the option that best describes your experience. - How well do you succeed in reaching your goals with schoolwork?,Please read each question and select the option that best describes your experience. - How well do you succeed in staying friends with other people?,Please read each question and select the option that best describes your experience. - How well do you succeed in suppressing unpleasant thoughts?,Please read each question and select the option that best describes your experience. - How well do you succeed in passing a test?,Please read each question and select the option that best describes your experience. - How well do you succeed in preventing quarrels with other people?,Please read each question and select the option that best describes your experience. - How well do you succeed in not worrying about things that might happen?,"Please read each statement and select the description which best describes how frequently you felt that way in the past seven days, including today. - I felt sad.","Please read each statement and select the description which best describes how frequently you felt that way in the past seven days, including today. - I felt that I had failed as a person.","Please read each statement and select the description which best describes how frequently you felt that way in the past seven days, including today. - I felt dissatisfied with my life.","Please read each statement and select the description which best describes how frequently you felt that way in the past seven days, including today. - I felt mentally alert.","Please read each statement and select the description which best describes how frequently you felt that way in the past seven days, including today. - I felt disappointed with myself.","Please read each statement and select the description which best describes how frequently you felt that way in the past seven days, including today. - I felt cheerful.","Please read each statement and select the description which best describes how frequently you felt that way in the past seven days, including today. - I felt that life wasn't worth living.","Please read each statement and select the description which best describes how frequently you felt that way in the past seven days, including today. - I felt satisfied with my life.","Please read each statement and select the description which best describes how frequently you felt that way in the past seven days, including today. - I felt healthy.","Please read each statement and select the description which best describes how frequently you felt that way in the past seven days, including today. - I felt like crying.","Please read each statement and select the description which best describes how frequently you felt that way in the past seven days, including today. - I felt that I had been successful.","Please read each statement and select the description which best describes how frequently you felt that way in the past seven days, including today. - I felt happy.","Please read each statement and select the description which best describes how frequently you felt that way in the past seven days, including today. - I felt that I couldn't make decisions.","Please read each statement and select the description which best describes how frequently you felt that way in the past seven days, including today. - I felt optimistic about the future.","Please read each statement and select the description which best describes how frequently you felt that way in the past seven days, including today. - I felt that life was rewarding.","Please read each statement and select the description which best describes how frequently you felt that way in the past seven days, including today. - I felt cheerless.","Please read each statement and select the description which best describes how frequently you felt that way in the past seven days, including today. - I felt that life had a purpose.","Please read each statement and select the description which best describes how frequently you felt that way in the past seven days, including today. - I felt too tired to do anything.","Please read each statement and select the description which best describes how frequently you felt that way in the past seven days, including today. - I felt pleased with the way I am.","Please read each statement and select the description which best describes how frequently you felt that way in the past seven days, including today. - I felt lethargic.","Please read each statement and select the description which best describes how frequently you felt that way in the past seven days, including today. - I found it easy to make decisions.","Please read each statement and select the description which best describes how frequently you felt that way in the past seven days, including today. - I felt that life was enjoyable.","Please read each statement and select the description which best describes how frequently you felt that way in the past seven days, including today. - I felt that life was meaningless.","Please read each statement and select the description which best describes how frequently you felt that way in the past seven days, including today. - I felt run down.","Please read each question and select the option that best describes your experience. - When I am with other people, I feel included.",Please read each question and select the option that best describes your experience. - I have close bonds with family and friends.,Please read each question and select the option that best describes your experience. - I feel like an outsider.,Please read each question and select the option that best describes your experience. - I feel as if people do not care about me.,Please read each question and select the option that best describes your experience. - I feel accepted by others.,"Please read each question and select the option that best describes your experience. - Because I do not belong, I feel distant during the holiday season.",Please read each question and select the option that best describes your experience. - I feel isolated from the rest of the world.,Please read each question and select the option that best describes your experience. - I have a sense of belonging.,"Please read each question and select the option that best describes your experience. - When I am with other people, I feel like a stranger.",Please read each question and select the option that best describes your experience. - I have a place at the table with others.,Please read each question and select the option that best describes your experience. - I feel connected with others.,Please read each question and select the option that best describes your experience. - Friends and family do not involve me in their plans.,self-efficacy,Depression-Happiness,belongingness,parental impact- available,parental impact- supportive,parental impact- understanding,parental impact- respectful,parental impact- restrictive,parental impact- guidance
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID10_5""}","{""ImportId"":""QID10_6""}","{""ImportId"":""QID10_7""}","{""ImportId"":""QID10_8""}","{""ImportId"":""QID10_9""}","{""ImportId"":""QID10_10""}","{""ImportId"":""QID10_11""}","{""ImportId"":""QID10_12""}","{""ImportId"":""QID10_13""}","{""ImportId"":""QID10_14""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID14_5""}","{""ImportId"":""QID14_6""}","{""ImportId"":""QID14_7""}","{""ImportId"":""QID14_8""}","{""ImportId"":""QID14_9""}","{""ImportId"":""QID14_10""}","{""ImportId"":""QID14_11""}","{""ImportId"":""QID14_12""}","{""ImportId"":""QID14_13""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID12_5""}","{""ImportId"":""QID12_6""}","{""ImportId"":""QID12_7""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID4_7""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID4_9""}","{""ImportId"":""QID4_10""}","{""ImportId"":""QID4_11""}","{""ImportId"":""QID4_12""}","{""ImportId"":""QID4_13""}","{""ImportId"":""QID4_14""}","{""ImportId"":""QID4_15""}","{""ImportId"":""QID4_16""}","{""ImportId"":""QID4_17""}","{""ImportId"":""QID4_18""}","{""ImportId"":""QID4_19""}","{""ImportId"":""QID4_20""}","{""ImportId"":""QID4_21""}","{""ImportId"":""QID4_22""}","{""ImportId"":""QID4_23""}","{""ImportId"":""QID4_24""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID9_5""}","{""ImportId"":""QID9_6""}","{""ImportId"":""QID9_7""}","{""ImportId"":""QID9_8""}","{""ImportId"":""QID9_9""}","{""ImportId"":""QID9_10""}","{""ImportId"":""QID9_11""}","{""ImportId"":""QID9_12""}","{""ImportId"":""QID9_13""}","{""ImportId"":""QID9_14""}","{""ImportId"":""QID9_15""}","{""ImportId"":""QID9_16""}","{""ImportId"":""QID9_17""}","{""ImportId"":""QID9_18""}","{""ImportId"":""QID9_19""}","{""ImportId"":""QID9_20""}","{""ImportId"":""QID9_21""}","{""ImportId"":""QID9_22""}","{""ImportId"":""QID9_23""}","{""ImportId"":""QID9_24""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID11_7""}","{""ImportId"":""QID11_8""}","{""ImportId"":""QID11_9""}","{""ImportId"":""QID11_10""}","{""ImportId"":""QID11_11""}","{""ImportId"":""QID11_12""}","{""ImportId"":""SC_bwvVSjnWDL30Imy""}","{""ImportId"":""SC_3egO826ePuwp33U""}","{""ImportId"":""SC_9Gfkv884qAb1ehU""}","{""ImportId"":""SC_1Chb3UDIWCNTVC6""}","{""ImportId"":""SC_0c5DFgrb5BP1RFI""}","{""ImportId"":""SC_cTOi5aGSxa6gjJA""}","{""ImportId"":""SC_3kE27brgfFP9Qwu""}","{""ImportId"":""SC_0uYUP1FYL4g16wC""}","{""ImportId"":""SC_6XUSXw9Umhxuv54""}"
2022-10-11 15:20:04,2022-10-11 15:29:54,Survey Preview,,100,590,True,2022-10-11 15:29:55,R_2Tni8MI5564FoKe,,,,,34.5251,-82.6307,preview,EN,19,Female,Married,,,Very Much,Very Much,Somewhat,Very Much,Very Much,Not at All,Very Much,Very Much,Very Much,A Moderate Amount,A Moderate Amount,Very Much,Very Much,Somewhat,,,,,,,,,,,,,,Very Much,Very Much,Very Much,Very Much,Quite a Bit,Quite a Bit,A Moderate Amount,Very Much,Somewhat,Not at All,4 - Pretty well,3 - Neutral,4 - Pretty well,4 - Pretty well,3 - Neutral,4 - Pretty well,5 - Very well,3 - Neutral,3 - Neutral,5 - Very well,4 - Pretty well,4 - Pretty well,4 - Pretty well,3 - Neutral,4 - Pretty well,4 - Pretty well,3 - Neutral,3 - Neutral,5 - Very well,4 - Pretty well,2 - Not very well,5 - Very well,4 - Pretty well,2 - Not very well,Rarely,Rarely,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Never,Sometimes,Often,Sometimes,Sometimes,Rarely,Sometimes,Never,Sometimes,Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Somewhat Agree,89,67,30,19,13,19,10,4,36
2022-10-11 15:32:25,2022-10-11 15:32:47,Survey Preview,,100,22,True,2022-10-11 15:32:48,R_1gObc5FubZhMMCM,,,,,34.5251,-82.6307,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
2022-10-11 15:33:32,2022-10-11 15:34:05,Survey Preview,,100,33,True,2022-10-11 15:34:06,R_afV6lSxzrbqUDBL,,,,,34.5251,-82.6307,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
2022-10-18 15:49:34,2022-10-18 15:55:04,IP Address,128.92.72.51,100,330,True,2022-10-18 15:55:05,R_xcqI9lbq8IpVnbP,,,,,34.5251,-82.6307,anonymous,EN,18,Female,Married,White,Non-Hispanic,Very Much,Very Much,Not at All,Quite a Bit,Very Much,Not at All,Very Much,Very Much,Very Much,Somewhat,A Moderate Amount,Quite a Bit,Quite a Bit,Not at All,Very Much,Not at All,Very Much,Not at All,Very Much,Not at All,Very Much,Not at All,Quite a Bit,Quite a Bit,A Moderate Amount,Quite a Bit,Not at All,Very Much,Very Much,Very Much,Very Much,Quite a Bit,Quite a Bit,Not at All,Very Much,Not at All,Not at All,4 - Pretty well,4 - Pretty well,4 - Pretty well,2 - Not very well,3 - Neutral,5 - Very well,2 - Not very well,5 - Very well,3 - Neutral,5 - Very well,5 - Very well,3 - Neutral,4 - Pretty well,4 - Pretty well,4 - Pretty well,4 - Pretty well,5 - Very well,5 - Very well,3 - Neutral,4 - Pretty well,4 - Pretty well,5 - Very well,5 - Very well,4 - Pretty well,Never,Never,Never,Sometimes,Never,Sometimes,Never,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Never,Often,Sometimes,Never,Often,Sometimes,Never,Never,Sometimes,Sometimes,Never,Sometimes,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,96,77,18,29,31,18,24,13,39
2022-10-18 15:49:40,2022-10-18 15:56:59,IP Address,128.92.72.101,100,439,True,2022-10-18 15:57:00,R_3rMch3Py3GIo1iS,,,,,34.5251,-82.6307,anonymous,EN,19,Male,Married,White,Non-Hispanic,Very Much,Very Much,Somewhat,Quite a Bit,Quite a Bit,A Moderate Amount,Very Much,Very Much,Quite a Bit,Quite a Bit,A Moderate Amount,Quite a Bit,Quite a Bit,Somewhat,Quite a Bit,Not at All,Quite a Bit,Somewhat,Quite a Bit,Not at All,Quite a Bit,Not at All,Quite a Bit,Quite a Bit,Quite a Bit,Very Much,Not at All,Quite a Bit,Quite a Bit,Quite a Bit,Quite a Bit,Somewhat,Not at All,Very Much,Very Much,Somewhat,Somewhat,2 - Not very well,4 - Pretty well,3 - Neutral,4 - Pretty well,5 - Very well,1 - Not at all,4 - Pretty well,4 - Pretty well,5 - Very well,4 - Pretty well,2 - Not very well,4 - Pretty well,4 - Pretty well,3 - Neutral,5 - Very well,5 - Very well,2 - Not very well,2 - Not very well,4 - Pretty well,4 - Pretty well,4 - Pretty well,4 - Pretty well,4 - Pretty well,4 - Pretty well,Often,Often,Sometimes,Often,Sometimes,Sometimes,Never,Sometimes,Often,Rarely,Sometimes,Rarely,Never,Sometimes,Sometimes,Sometimes,Often,Sometimes,Rarely,Never,Sometimes,Sometimes,Never,Often,Disagree,Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,87,67,52,27,25,16,23,18,35
